sensor,metric,granularity,old_period,new_period,old_n,new_n,old_n_eff,new_n_eff,old_mean,new_mean,mean_delta,old_std,new_std,old_min,old_max,new_min,new_max,cohens_d,std_ratio,p_welch,p_levene,mean_shift,variance_shift
IPS7100_MHC_001,pm1_0,year_to_year,2024,2025,41688,104225,421.1,1052.8,4.9202,5.0444,0.1243,5.0236,5.7919,0.0149,69.0083,0.0,104.7781,0.0223,1.1529,6.82e-01,3.11e-01,False,False
IPS7100_MHC_001,pm1_0,year_to_year,2025,2026,104225,41725,1052.8,421.5,5.0444,3.1164,-1.928,5.7919,4.0653,0.0,104.7781,0.0396,41.0088,-0.36,0.7019,8.95e-13,3.46e-06,True,False
IPS7100_MHC_001,pressure,year_to_year,2024,2025,41688,103937,487.4,1049.9,990.639,991.2593,0.6203,5.4717,5.0291,861.4906,1009.2567,978.622,1050.0343,0.1202,0.9191,3.42e-02,1.69e-01,False,False
IPS7100_MHC_001,pressure,year_to_year,2025,2026,103937,41226,1049.9,416.4,991.2593,1014.9571,23.6978,5.0291,24.8751,978.622,1050.0343,978.6963,1199.9576,1.7021,4.9462,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,temperature,year_to_year,2024,2025,41688,103937,421.1,1049.9,26.3978,23.991,-2.4068,5.4757,3.6349,8.6278,46.573,5.3791,66.632,-0.5671,0.6638,1.00e-15,7.40e-09,True,True
IPS7100_MHC_001,temperature,year_to_year,2025,2026,103937,41725,1049.9,421.5,23.991,21.133,-2.858,3.6349,5.4802,5.3791,66.632,1.1584,43.0561,-0.6731,1.5077,1.00e-15,1.68e-08,True,True
