day,variant,total_alerts,z-score-outlier,Step-Change Detected,Variance Regime Change
20251228,default,491,269,222,0.0
20251229,default,502,275,227,0.0
20251230,default,491,273,218,0.0
20251231,default,455,255,200,0.0
20260101,default,497,273,224,0.0
20260102,default,482,265,217,0.0
20260103,default,497,277,220,0.0
20260104,default,536,289,247,0.0
20260105,default,503,278,225,0.0
20260106,default,502,282,220,0.0
20260107,default,483,273,210,0.0
20260108,default,477,275,202,0.0
20260109,default,502,276,226,0.0
20260110,default,501,278,223,0.0
20260111,default,493,274,219,0.0
20260112,default,459,262,197,0.0
20260113,default,469,264,205,0.0
20260114,default,536,287,249,0.0
20260115,default,515,273,242,0.0
20260116,default,477,261,216,0.0
20260117,default,512,278,234,0.0
20260118,default,491,276,215,0.0
20260119,default,497,273,224,0.0
20260120,default,505,282,223,0.0
20260121,default,508,273,235,0.0
20260122,default,486,274,212,0.0
20260123,default,494,272,222,0.0
20260124,default,487,266,221,0.0
20260125,default,467,261,206,0.0
20260126,default,179,102,77,0.0
20260127,default,303,166,137,0.0
20260128,default,523,291,232,0.0
20260129,default,500,281,219,0.0
20260130,default,492,284,208,0.0
20260131,default,484,262,222,0.0
20260201,default,513,278,235,0.0
20260202,default,517,282,235,0.0
20260203,default,484,269,215,0.0
20260204,default,511,285,226,0.0
20260205,default,504,269,235,0.0
20260206,default,485,271,214,0.0
20260207,default,488,272,216,0.0
20260208,default,483,272,211,0.0
20260209,default,482,269,213,0.0
20260210,default,493,271,222,0.0
20260211,default,476,266,210,0.0
20260212,default,512,285,227,0.0
20260213,default,511,281,230,0.0
20260214,default,508,281,227,0.0
20260215,default,447,247,200,0.0
20260216,default,475,260,215,0.0
20260217,default,499,282,217,0.0
20260218,default,464,264,200,0.0
20260219,default,491,272,219,0.0
20260220,default,500,272,228,0.0
20260221,default,529,282,247,0.0
20260222,default,467,273,194,0.0
20260223,default,468,265,203,0.0
20260224,default,487,264,223,0.0
20260225,default,478,270,208,0.0
20260226,default,491,275,216,0.0
20260227,default,489,265,224,0.0
20260228,default,517,282,235,0.0
20260301,default,503,278,225,0.0
20260302,default,483,270,213,0.0
20260303,default,499,278,221,0.0
20260304,default,504,280,224,0.0
20260305,default,496,273,223,0.0
20260306,default,493,275,218,0.0
20260307,default,487,270,217,0.0
20260308,default,504,275,229,0.0
20260309,default,488,276,212,0.0
20260310,default,510,281,229,0.0
20260311,default,497,268,229,0.0
20260312,default,505,274,231,0.0
20260313,default,495,273,222,0.0
20260314,default,473,265,208,0.0
20260315,default,476,264,212,0.0
20260316,default,502,269,233,0.0
20260317,default,493,273,220,0.0
20260318,default,497,274,223,0.0
20260319,default,479,269,210,0.0
20260320,default,460,264,196,0.0
20260321,default,488,271,217,0.0
20260322,default,465,268,197,0.0
20260323,default,485,269,216,0.0
20260324,default,204,110,94,0.0
20260325,default,319,177,142,0.0
20260326,default,462,261,201,0.0
20260327,default,487,273,214,0.0
20260328,default,483,269,214,0.0
20260329,default,478,264,214,0.0
20260330,default,480,268,212,0.0
20260331,default,498,273,225,0.0
20260401,default,497,276,221,0.0
20260402,default,467,264,203,0.0
20260403,default,491,271,220,0.0
20260404,default,524,284,240,0.0
20260405,default,497,272,225,0.0
20260406,default,508,277,231,0.0
20260407,default,487,268,219,0.0
20260408,default,490,273,217,0.0
20260409,default,493,272,221,0.0
20260410,default,485,275,210,0.0
20260411,default,501,272,229,0.0
20260412,default,493,273,220,0.0
20260413,default,491,269,222,0.0
20260414,default,509,283,226,0.0
20260415,default,488,275,213,0.0
20260416,default,470,265,205,0.0
20260417,default,480,264,216,0.0
20260418,default,497,271,226,0.0
20260419,default,482,271,211,0.0
20260420,default,482,267,215,0.0
20260421,default,493,269,224,0.0
20260422,default,505,285,220,0.0
20260423,default,508,281,227,0.0
20260424,default,481,272,209,0.0
20260425,default,466,271,195,0.0
20260426,default,488,283,205,0.0
20260427,default,469,282,187,0.0
20260428,default,483,286,197,0.0
20260429,default,472,273,199,0.0
20260430,default,485,268,217,0.0
20260501,default,492,270,222,0.0
20260502,default,488,271,217,0.0
20260503,default,495,276,219,0.0
20260504,default,462,262,200,0.0
20260505,default,474,263,211,0.0
20260506,default,452,260,192,0.0
20260507,default,481,271,210,0.0
20260508,default,480,270,210,0.0
20260509,default,476,272,204,0.0
20260510,default,508,272,236,0.0
20260511,default,498,277,221,0.0
20260512,default,474,265,209,0.0
20260513,default,478,273,205,0.0
