sensor,metric,granularity,old_period,new_period,old_n,new_n,old_mean,new_mean,mean_delta,old_std,new_std,old_min,old_max,new_min,new_max,p_welch,p_levene,mean_shift,variance_shift
IPS7100_MHC_001,pm1_0,year_to_year,2024,2025,41688,104225,4.9202,5.0444,0.1243,5.0236,5.7919,0.0149,69.0083,0.0,104.7781,4.47e-05,1.00e-15,True,True
IPS7100_MHC_001,pm1_0,year_to_year,2025,2026,104225,41725,5.0444,3.1164,-1.928,5.7919,4.0653,0.0,104.7781,0.0396,41.0088,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,pressure,year_to_year,2024,2025,41688,103937,990.639,991.2593,0.6203,5.4717,5.0291,861.4906,1009.2567,978.622,1050.0343,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,pressure,year_to_year,2025,2026,103937,41226,991.2593,1014.9571,23.6978,5.0291,24.8751,978.622,1050.0343,978.6963,1199.9576,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,temperature,year_to_year,2024,2025,41688,103937,26.3978,23.991,-2.4068,5.4757,3.6349,8.6278,46.573,5.3791,66.632,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,temperature,year_to_year,2025,2026,103937,41725,23.991,21.133,-2.858,3.6349,5.4802,5.3791,66.632,1.1584,43.0561,1.00e-15,1.00e-15,True,True
