field,period,period_1,period_2,n1,n2,test,statistic,p_value,significant,significance
PM1.0,Mar 1-Apr 1 2025 vs 2026,Mar 1-Apr 1 2025 (2025-03-01 - 2025-04-01),Mar 1-Apr 1 2026 (2026-03-01 - 2026-04-01),9215,8927,KS,0.292083,0.0,True,p<0.001 ***
PM1.0,Mar 1-Apr 1 2025 vs 2026,Mar 1-Apr 1 2025 (2025-03-01 - 2025-04-01),Mar 1-Apr 1 2026 (2026-03-01 - 2026-04-01),9215,8927,AD,1281.031998,0.001,True,p=0.0010 **
PM1.0,Mar 1-Apr 1 2025 vs 2026,Mar 1-Apr 1 2025 (2025-03-01 - 2025-04-01),Mar 1-Apr 1 2026 (2026-03-01 - 2026-04-01),9215,8927,MWU,56093717.0,0.0,True,p<0.001 ***
PM1.0,Mar 1-Apr 1 2025 vs 2026,Mar 1-Apr 1 2025 (2025-03-01 - 2025-04-01),Mar 1-Apr 1 2026 (2026-03-01 - 2026-04-01),9215,8927,ES,2127.714358,0.0,True,p<0.001 ***
