field,period,period_1,period_2,n1,n2,test,statistic,p_value,significant,significance
PM1.0,First vs Last Month,First Month (2024-08-04 – 2024-09-04),Last Month  (2026-04-28 – 2026-05-28),8915,8641,KS,0.584368,0.0,True,p<0.001 ***
PM1.0,First vs Last Month,First Month (2024-08-04 – 2024-09-04),Last Month  (2026-04-28 – 2026-05-28),8915,8641,AD,4112.775412,0.001,True,p=0.0010 **
PM1.0,First vs Last Month,First Month (2024-08-04 – 2024-09-04),Last Month  (2026-04-28 – 2026-05-28),8915,8641,MWU,64832145.0,0.0,True,p<0.001 ***
PM1.0,First vs Last Month,First Month (2024-08-04 – 2024-09-04),Last Month  (2026-04-28 – 2026-05-28),8915,8641,ES,10235.181732,0.0,True,p<0.001 ***
