field,period,period_1,period_2,n1,n2,test,statistic,p_value,significant,significance
PM1.0,May 2025 vs May 2026,May 2025 (2025-05-01 – 2025-05-31),May 2026 (2026-05-01 – 2026-05-31),8928,7777,KS,0.217299,0.0,True,p<0.001 ***
PM1.0,May 2025 vs May 2026,May 2025 (2025-05-01 – 2025-05-31),May 2026 (2026-05-01 – 2026-05-31),8928,7777,AD,424.259825,0.001,True,p=0.0010 **
PM1.0,May 2025 vs May 2026,May 2025 (2025-05-01 – 2025-05-31),May 2026 (2026-05-01 – 2026-05-31),8928,7777,MWU,39187729.0,0.0,True,p<0.001 ***
PM1.0,May 2025 vs May 2026,May 2025 (2025-05-01 – 2025-05-31),May 2026 (2026-05-01 – 2026-05-31),8928,7777,ES,1107.683398,0.0,True,p<0.001 ***
